,0,,1,",",2
0,1,",",1,",",16.34965324
1,1,",",3,",",16.30598831
2,3,",",1,",",16.40578365
3,3,",",3,",",16.35783195
4,1,",",5,",",16.21983814
5,3,",",5,",",16.26355457
6,1,",",7,",",16.09362698
7,3,",",7,",",16.12615395
8,1,",",9,",",15.9306078
9,3,",",9,",",15.94982719
10,1,",",11,",",15.73453236
11,3,",",11,",",15.7392664
12,2.851344943,",",13,",",15.5
13,3,",",13,",",15.49921513
14,3,",",12.99375343,",",15.5
15,1,",",13,",",15.50933552
16,1,",",13.07552338,",",15.5
17,1,",",15,",",15.25200748
18,3,",",15,",",15.2261591
19,1,",",17,",",14.97281265
20,3,",",17,",",14.93245983
21,1,",",19,",",14.67548275
22,3,",",19,",",14.6218853
23,1,",",20.12952805,",",14.5
24,3,",",21,",",14.29193878
25,3,",",19.75812149,",",14.5
26,1,",",21,",",14.35939884
27,1,",",23,",",14.02634811
28,3,",",23,",",13.94795132
29,1,",",25,",",13.68344021
30,3,",",25,",",13.59568882
31,1,",",26.05056763,",",13.5
32,3,",",27,",",13.23019123
33,3,",",25.53746414,",",13.5
34,1,",",27,",",13.32844067
35,1,",",29,",",12.96285629
36,3,",",29,",",12.85766792
37,2.675923467,",",31,",",12.5
38,3,",",31,",",12.48122883
39,3,",",30.90321922,",",12.5
40,1,",",31,",",12.59253407
41,1,",",31.49745369,",",12.5
42,1,",",33,",",12.21221256
43,3,",",33,",",12.09388447
44,1,",",35,",",11.82734013
45,3,",",35,",",11.70509911
46,1,",",36.69416046,",",11.5
47,3,",",37,",",11.31128407
48,3,",",36.05464935,",",11.5
49,1,",",37,",",11.43935394
50,1,",",39,",",11.04346275
51,3,",",39,",",10.91277599
52,1,",",41,",",10.64704418
53,3,",",41,",",10.51430798
54,1,",",41.74272537,",",10.5
55,3,",",43,",",10.10858059
56,3,",",41.07201385,",",10.5
57,1,",",43,",",10.24563789
58,1,",",45,",",9.841810226
59,3,",",45,",",9.703396797
60,1,",",46.69559479,",",9.5
61,3,",",47,",",9.295426369
62,3,",",46.00651169,",",9.5
63,1,",",47,",",9.437458038
64,1,",",49,",",9.028038979
65,3,",",49,",",8.885071754
66,2.673767567,",",51,",",8.5
67,3,",",51,",",8.47573185
68,3,",",50.88323593,",",8.5
69,1,",",51,",",8.619860649
70,1,",",51.58913803,",",8.5
71,1,",",53,",",8.208384514
72,3,",",53,",",8.061573029
73,1,",",55,",",7.796739101
74,3,",",55,",",7.649334431
75,1,",",56.44777298,",",7.5
76,3,",",57,",",7.235014439
77,3,",",55.72708511,",",7.5
78,1,",",57,",",7.38523674
79,1,",",59,",",6.971446991
80,3,",",59,",",6.820711136
81,1.802451968,",",61,",",6.5
82,3,",",61,",",6.407479763
83,3,",",60.55626297,",",6.5
84,1,",",61,",",6.559995651
85,1,",",61.29280853,",",6.5
86,1,",",63,",",6.146153927
87,3,",",63,",",5.992313385
88,1,",",65,",",5.734265327
89,3,",",65,",",5.579971313
90,1,",",66.14405823,",",5.5
91,3,",",67,",",5.166185379
92,3,",",65.38954926,",",5.5
93,1,",",67,",",5.322962761
94,1,",",69,",",4.911792755
95,3,",",69,",",4.754572392
96,1.049884181,",",71,",",4.5
97,3,",",71,",",4.344351768
98,3,",",70.24507904,",",4.5
99,1,",",71,",",4.503871441
100,1,",",71.01907349,",",4.5
101,1,",",73,",",4.094569921
102,3,",",73,",",3.934577227
103,1,",",75,",",3.688868284
104,3,",",75,",",3.528467417
105,1,",",75.93778229,",",3.5
106,3,",",77,",",3.12191534
107,3,",",75.14093781,",",3.5
108,1,",",77,",",3.284515381
109,1,",",79,",",2.882052898
110,3,",",79,",",2.719076157
111,1,",",80.91750336,",",2.5
112,3,",",81,",",2.318437576
113,3,",",80.09654999,",",2.5
114,1,",",81,",",2.483460426
115,1,",",83,",",2.085195422
116,3,",",83,",",1.919841886
117,1,",",85,",",1.691301942
118,3,",",85,",",1.525645614
119,1,",",85.98023224,",",1.5
120,3,",",87,",",1.132448971
121,3,",",85.13103485,",",1.5
122,1,",",87,",",1.299960613
123,1,",",89,",",0.911462665
124,3,",",89,",",0.743711099
125,1.332525343,",",91,",",0.5
126,3,",",90.26708984,",",0.5
127,1,",",91,",",0.527655546
128,1,",",91.14532471,",",0.5
129,5,",",1,",",16.46071434
130,5,",",3,",",16.40746307
131,5,",",5,",",16.30326557
132,5,",",7,",",16.15247917
133,5,",",9,",",15.96062088
134,5,",",11,",",15.73361778
135,5,",",13,",",15.47645569
136,5,",",12.82505608,",",15.5
137,5,",",15,",",15.18683052
138,5,",",17,",",14.87808609
139,5,",",19,",",14.55424213
140,5,",",21,",",14.21021366
141,5,",",19.32708168,",",14.5
142,5,",",23,",",13.8560524
143,4.911591768,",",25,",",13.5
144,5,",",25,",",13.49533081
145,5,",",24.97508812,",",13.5
146,5,",",27,",",13.12013817
147,5,",",29,",",12.7420187
148,5,",",31,",",12.35828781
149,5,",",30.27631378,",",12.5
150,5,",",33,",",11.96746349
151,5,",",35,",",11.57612991
152,5,",",37,",",11.17747879
153,5,",",35.39011383,",",11.5
154,5,",",39,",",10.77758026
155,3.215041161,",",41,",",10.5
156,5,",",41,",",10.37566662
157,5,",",40.39094543,",",10.5
158,5,",",43,",",9.968951225
159,5,",",45,",",9.563327789
160,5,",",47,",",9.152411461
161,5,",",45.31306839,",",9.5
162,5,",",49,",",8.741844177
163,5,",",51,",",8.329879761
164,5,",",50.18181229,",",8.5
165,5,",",53,",",7.915570736
166,5,",",55,",",7.503202915
167,5,",",57,",",7.086391449
168,5,",",55.01556778,",",7.5
169,5,",",59,",",6.671905518
170,5,",",61,",",6.2562747
171,5,",",59.83265305,",",6.5
172,5,",",63,",",5.840854168
173,4.063157797,",",65,",",5.5
174,5,",",65,",",5.427258015
175,5,",",64.65103912,",",5.5
176,5,",",67,",",5.012079239
177,5,",",69,",",4.600132942
178,5,",",71,",",4.18762517
179,5,",",69.48839569,",",4.5
180,5,",",73,",",3.777481318
181,3.366162777,",",75,",",3.5
182,5,",",75,",",3.369508743
183,5,",",74.36323547,",",3.5
184,5,",",77,",",2.962252378
185,5,",",79,",",2.559041739
186,5,",",81,",",2.156337738
187,5,",",79.29460144,",",2.5
188,5,",",83,",",1.757394075
189,3.318593264,",",85,",",1.5
190,5,",",85,",",1.361525714
191,5,",",84.30251312,",",1.5
192,5,",",87,",",0.967776954
193,5,",",89,",",0.578761764
194,5,",",89.40825653,",",0.5
195,6.482766628,",",1,",",16.5
196,7,",",3,",",16.453866
197,7,",",1.463257164,",",16.5
198,7,",",1,",",16.51325989
199,7,",",5,",",16.33730888
200,7,",",7,",",16.17029572
201,7,",",9,",",15.96021843
202,7,",",11,",",15.71460533
203,7,",",13,",",15.4381752
204,7,",",12.57147408,",",15.5
205,7,",",15,",",15.13111401
206,7,",",17,",",14.80719471
207,6.308470726,",",19,",",14.5
208,7,",",19,",",14.46957588
209,7,",",18.8275795,",",14.5
210,7,",",21,",",14.11263275
211,7,",",23,",",13.74962425
212,7,",",25,",",13.37880802
213,7,",",24.36395454,",",13.5
214,7,",",27,",",12.99821663
215,7,",",29,",",12.61628056
216,7,",",31,",",12.22656441
217,7,",",29.61047363,",",12.5
218,7,",",33,",",11.8339901
219,6.147005081,",",35,",",11.5
220,7,",",35,",",11.44032097
221,7,",",34.70392227,",",11.5
222,7,",",37,",",11.03942394
223,7,",",39,",",10.6394968
224,7,",",41,",",10.23486519
225,7,",",39.69963837,",",10.5
226,7,",",43,",",9.828536034
227,5.91810894,",",45,",",9.5
228,7,",",45,",",9.421901703
229,7,",",44.62177658,",",9.5
230,7,",",47,",",9.01024437
231,7,",",49,",",8.600158691
232,7,",",51,",",8.186080456
233,7,",",49.4894371,",",8.5
234,7,",",53,",",7.772110462
235,5.045719147,",",55,",",7.5
236,7,",",55,",",7.357702732
237,7,",",54.31918335,",",7.5
238,7,",",57,",",6.940989494
239,7,",",59,",",6.526575089
240,7,",",61,",",6.108716965
241,7,",",59.12847519,",",6.5
242,7,",",63,",",5.693189144
243,7,",",65,",",5.27735424
244,7,",",63.93370819,",",5.5
245,7,",",67,",",4.861923695
246,6.338901997,",",69,",",4.5
247,7,",",69,",",4.449028015
248,7,",",68.75478363,",",4.5
249,7,",",71,",",4.034888506
250,7,",",73,",",3.624364614
251,7,",",75,",",3.214172602
252,7,",",73.60903931,",",3.5
253,7,",",77,",",2.806494236
254,5.763033867,",",79,",",2.5
255,7,",",79,",",2.40179503
256,7,",",78.51662445,",",2.5
257,7,",",81,",",1.99802506
258,7,",",83,",",1.598664284
